HELP_ID	CODE	UMASK	OTHER	COMMON	WEIGHT	COUNTER	NAME	DESCRIPTION	HELP_FILE	OVERFLOW	SAV_LOWER_LIMIT	PRECISE_EVENT	LATENCY	MSR_INDEX	MSR_VALUE	LBR_VALUE	DEFAULT	UNCORE_QUEUE_RESET	UNCORE	MIN_STEP	EM TRIGGER
0x1001C	0x10	0x2	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.MMX	MMX Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x80	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_DOUBLE_PRECISION	SSE* FP double precision Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x4	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP	SSE and SSE2 FP Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x10	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP_PACKED	SSE FP packed Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x20	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_FP_SCALAR	SSE FP scalar Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x40	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE_SINGLE_PRECISION	SSE* FP single precision Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x8	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.SSE2_INTEGER	SSE2 integer Uops	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001C	0x10	0x1	0x53	0x8	0	0,1,2,3	FP_COMP_OPS_EXE.X87	Computational floating-point operations executed	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001D	0xCC	0x3	0x53	0x8	0	0,1,2,3	FP_MMX_TRANS.ANY	All Floating Point to and from MMX transitions	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001D	0xCC	0x1	0x53	0x8	0	0,1,2,3	FP_MMX_TRANS.TO_FP	Transitions from MMX to Floating Point instructions	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x1001D	0xCC	0x2	0x53	0x8	0	0,1,2,3	FP_MMX_TRANS.TO_MMX	Transitions from Floating Point to MMX instructions	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10021	0x87	0xF	0x53	0x1	0	0,1,2,3	ILD_STALL.ANY	Any Instruction Length Decoder stall cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
0x10021	0x87	0x4	0x53	0x1	0	0,1,2,3	ILD_STALL.IQ_FULL	Instruction Queue full stall cycles	pmw_sp.chm	2000000	0	0	0	0	0	0	0	0	0	0	0
