# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.22
# 3/27/2020 4:07:25 PM EVENT_STATUS Legend: None = 0x00, Deprecated = 0x01, Template = 0x02
UNIT	CODE	UMASK	PORT_MASK	FC_MASK	UMASK_EXT	NAME	DESCRIPTION	COUNTER	OTHER	FILTER	INTERNAL	FILTER_VALUE	EVENT_STATUS
iMC	0x41	0x8	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK3	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x41	0x80	0x00	0x00	0x00	UNC_M_POWER_THROTTLE_CYCLES.RANK7	Throttle Cycles for Rank 0; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x42	0x0	0x00	0x00	0x00	UNC_M_POWER_PCU_THROTTLING	tbd	0,1,2,3	0x53	na	0	0	0x00
iMC	0x5	0x2	0x00	0x00	0x00	UNC_M_DRAM_REFRESH.PANIC	Number of DRAM Refreshes Issued	0,1,2,3	0x53	na	0	0	0x00
iMC	0x5	0x4	0x00	0x00	0x00	UNC_M_DRAM_REFRESH.HIGH	Number of DRAM Refreshes Issued	0,1,2,3	0x53	na	0	0	0x00
iMC	0x6	0x0	0x00	0x00	0x00	UNC_M_DRAM_PRE_ALL	DRAM Precharge All Commands	0,1,2,3	0x53	na	0	0	0x00
iMC	0x7	0x1	0x00	0x00	0x00	UNC_M_MAJOR_MODES.READ	Cycles in a Major Mode; Read Major Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x7	0x2	0x00	0x00	0x00	UNC_M_MAJOR_MODES.WRITE	Cycles in a Major Mode; Write Major Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x7	0x4	0x00	0x00	0x00	UNC_M_MAJOR_MODES.PARTIAL	Cycles in a Major Mode; Partial Major Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x7	0x8	0x00	0x00	0x00	UNC_M_MAJOR_MODES.ISOCH	Cycles in a Major Mode; Isoch Major Mode	0,1,2,3	0x53	na	0	0	0x00
iMC	0x8	0x1	0x00	0x00	0x00	UNC_M_PREEMPTION.RD_PREEMPT_RD	Read Preemption Count; Read over Read Preemption	0,1,2,3	0x53	na	0	0	0x00
iMC	0x8	0x2	0x00	0x00	0x00	UNC_M_PREEMPTION.RD_PREEMPT_WR	Read Preemption Count; Read over Write Preemption	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x1	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK0	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x10	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK4	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x2	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK1	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x20	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK5	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x4	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK2	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x40	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK6	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x8	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK3	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x83	0x80	0x00	0x00	0x00	UNC_M_POWER_CKE_CYCLES.RANK7	CKE_ON_CYCLES by Rank; DIMM ID	0,1,2,3	0x53	na	0	0	0x00
iMC	0x84	0x0	0x00	0x00	0x00	UNC_M_POWER_CHANNEL_DLLOFF	Channel DLLOFF Cycles	0,1,2,3	0x53	na	0	0	0x00
iMC	0x86	0x0	0x00	0x00	0x00	UNC_M_POWER_CRITICAL_THROTTLE_CYCLES	Critical Throttle Cycles	0,1,2,3	0x53	na	0	0	0x00
iMC	0x9	0x0	0x00	0x00	0x00	UNC_M_ECC_CORRECTABLE_ERRORS	ECC Correctable Errors	0,1,2,3	0x53	na	0	0	0x00
iMC	0xA0	0x1	0x00	0x00	0x00	UNC_M_RD_CAS_PRIO.LOW	Read CAS issued with LOW priority	0,1,2,3	0x53	na	0	0	0x00
